url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,17,8
/mponagandla/Python-Resume-Generator/pulls,4,2
/mponagandla/Python-Resume-Generator/pull/17,3,2
/mponagandla/Python-Resume-Generator/tree/master/resources,2,2
/mponagandla/Python-Resume-Generator/activity,1,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,1,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.pdf,1,1
/mponagandla/Python-Resume-Generator/blob/master/resources/generated-resumes/Manoj Ponagandla JavaSpring.pdf,1,1
/mponagandla/Python-Resume-Generator/blob/master/resources/job-descriptions/jd flex SE2.txt,1,1
/mponagandla/Python-Resume-Generator/branches,1,1
