url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,22,10
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,6,1
/mponagandla/Python-Resume-Generator/pulls,5,3
/mponagandla/Python-Resume-Generator/issues,3,3
/mponagandla/Python-Resume-Generator/tree/master/resources,2,2
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,2,1
/mponagandla/Python-Resume-Generator/blob/master/resources/example_user_profile.md,2,1
/mponagandla/Python-Resume-Generator/blob/master/resources/resume-bkp.pdf,2,1
/mponagandla/Python-Resume-Generator/pull/16,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator,2,1
