url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,7,5
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,5,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/resources,3,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.pdf,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/.github,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/.github/workflows,2,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.html,1,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,1,1
/mponagandla/Python-Resume-Generator/graphs/traffic,1,1
/mponagandla/Python-Resume-Generator/issues,1,1
