url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,12,8
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report,2,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,1,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.pdf,1,1
/mponagandla/Python-Resume-Generator/tree/master/misc/job-descriptions,1,1
