url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,8,4
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,8,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/resources,4,1
/mponagandla/Python-Resume-Generator/pulls,3,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,2,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.pdf,2,1
/mponagandla/Python-Resume-Generator/pull/16,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/.github,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/.github/workflows,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator,2,1
