url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,7,5
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,3,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator,3,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.pdf,2,1
/mponagandla/Python-Resume-Generator/blob/master/README.md,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report,2,1
/mponagandla/Python-Resume-Generator/pulls,1,1
/mponagandla/Python-Resume-Generator/tree/master,1,1
/mponagandla/Python-Resume-Generator/tree/master/resources,1,1
/mponagandla/Python-Resume-Generator/tree/master/resources/generated-resumes,1,1
