time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,27,10,0,0
2026-06-07 00:00:00+00:00,20,7,0,0
2026-06-08 00:00:00+00:00,18,9,0,0
2026-06-09 00:00:00+00:00,17,7,0,0
2026-06-10 00:00:00+00:00,12,5,0,0
2026-06-11 00:00:00+00:00,6,6,13,2
2026-06-12 00:00:00+00:00,18,7,0,0
2026-06-13 00:00:00+00:00,64,10,0,0
2026-06-14 00:00:00+00:00,33,10,0,0
2026-06-15 00:00:00+00:00,38,11,0,0
2026-06-16 00:00:00+00:00,31,11,0,0
2026-06-17 00:00:00+00:00,18,7,0,0
2026-06-18 00:00:00+00:00,27,9,0,0
2026-06-19 00:00:00+00:00,66,18,0,0
