url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,8,5
/mponagandla/Python-Resume-Generator/pull/17,2,2
/mponagandla/Python-Resume-Generator/pulls,2,2
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,1,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.pdf,1,1
/mponagandla/Python-Resume-Generator/blob/master/resources/generated-resumes/Manoj Ponagandla JavaSpring.pdf,1,1
/mponagandla/Python-Resume-Generator/blob/master/resources/job-descriptions/jd flex SE2.txt,1,1
/mponagandla/Python-Resume-Generator/branches,1,1
/mponagandla/Python-Resume-Generator/pull/17/changes,1,1
/mponagandla/Python-Resume-Generator/pull/17/checks,1,1
