time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,45,14,0,0
2026-06-25 00:00:00+00:00,17,8,0,0
2026-06-26 00:00:00+00:00,16,5,0,0
2026-06-27 00:00:00+00:00,19,6,0,0
2026-06-28 00:00:00+00:00,16,7,0,0
2026-06-29 00:00:00+00:00,33,10,2,1
2026-06-30 00:00:00+00:00,36,12,5,1
2026-07-01 00:00:00+00:00,9,7,0,0
2026-07-02 00:00:00+00:00,14,7,0,0
2026-07-03 00:00:00+00:00,13,6,0,0
2026-07-04 00:00:00+00:00,31,12,0,0
2026-07-05 00:00:00+00:00,4,4,0,0
2026-07-06 00:00:00+00:00,35,8,0,0
2026-07-07 00:00:00+00:00,18,6,0,0
