url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,9,4
/mponagandla/Python-Resume-Generator/pull/19,3,1
/mponagandla/Python-Resume-Generator/pull/19/checks,3,1
/mponagandla/Python-Resume-Generator/pulls,3,1
/mponagandla/Python-Resume-Generator/security/code-scanning,3,1
/mponagandla/Python-Resume-Generator/security,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,2,1
/mponagandla/Python-Resume-Generator/actions/runs/28447590806,1,1
/mponagandla/Python-Resume-Generator/actions/runs/31117388345,1,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,1,1
