url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,8,7
/mponagandla/Python-Resume-Generator/blob/master/resources/example_resume_content.yaml,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/resources,2,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.pdf,1,1
/mponagandla/Python-Resume-Generator/blob/master/ARCHITECTURE.md,1,1
/mponagandla/Python-Resume-Generator/pull/16,1,1
/mponagandla/Python-Resume-Generator/pulls,1,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/.github,1,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/.github/workflows,1,1
