url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,4,3
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report,2,1
/mponagandla/Python-Resume-Generator/blob/master/resume_agent.py,1,1
/mponagandla/Python-Resume-Generator/issues,1,1
/mponagandla/Python-Resume-Generator/pull/18,1,1
/mponagandla/Python-Resume-Generator/pulls,1,1
