url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,12,5
/mponagandla/Python-Resume-Generator/pull/15,4,4
/mponagandla/Python-Resume-Generator/graphs/traffic,4,1
/mponagandla/Python-Resume-Generator/tree/master/.github,4,1
/mponagandla/Python-Resume-Generator/tree/master/.github/workflows,4,1
/mponagandla/Python-Resume-Generator/actions,3,1
/mponagandla/Python-Resume-Generator/actions/workflows/github-repo-stats.yml,2,1
/mponagandla/Python-Resume-Generator/blob/master/.github/workflows/github-repo-stats.yml,2,1
/mponagandla/Python-Resume-Generator/pulse,2,1
/mponagandla/Python-Resume-Generator/tree/master/resources,2,1
