time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-31 00:00:00+00:00,3,3,1,1
2026-04-01 00:00:00+00:00,0,0,2,2
2026-04-02 00:00:00+00:00,0,0,3,2
2026-04-03 00:00:00+00:00,2,2,0,0
2026-04-04 00:00:00+00:00,1,1,1,1
2026-04-05 00:00:00+00:00,0,0,1,1
2026-04-06 00:00:00+00:00,38,19,1,1
2026-04-07 00:00:00+00:00,9,6,0,0
2026-04-08 00:00:00+00:00,17,9,0,0
2026-04-09 00:00:00+00:00,24,9,0,0
2026-04-10 00:00:00+00:00,28,10,0,0
2026-04-11 00:00:00+00:00,31,13,1,1
2026-04-12 00:00:00+00:00,12,7,0,0
2026-04-13 00:00:00+00:00,40,13,0,0
