time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,1,1,1,1
2026-04-05 00:00:00+00:00,0,0,1,1
2026-04-06 00:00:00+00:00,38,19,1,1
2026-04-07 00:00:00+00:00,9,6,0,0
2026-04-08 00:00:00+00:00,17,9,0,0
2026-04-09 00:00:00+00:00,24,9,0,0
2026-04-10 00:00:00+00:00,28,10,0,0
2026-04-11 00:00:00+00:00,31,13,1,1
2026-04-12 00:00:00+00:00,12,7,0,0
2026-04-13 00:00:00+00:00,40,13,0,0
2026-04-14 00:00:00+00:00,30,9,0,0
2026-04-15 00:00:00+00:00,31,15,37,1
2026-04-16 00:00:00+00:00,40,14,0,0
2026-04-17 00:00:00+00:00,18,9,0,0
