url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,3,2
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,1,1
/mponagandla/Python-Resume-Generator/issues,1,1
/mponagandla/Python-Resume-Generator/pulls,1,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,1,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator,1,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report,1,1
