url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,14,6
/mponagandla/Python-Resume-Generator/pull/19,3,1
/mponagandla/Python-Resume-Generator/pull/19/checks,3,1
/mponagandla/Python-Resume-Generator/pulls,3,1
/mponagandla/Python-Resume-Generator/security/code-scanning,3,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,3,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,2,1
/mponagandla/Python-Resume-Generator/security,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report,2,1
