url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,16,7
/mponagandla/Python-Resume-Generator/tree/github-repo-stats,8,1
/mponagandla/Python-Resume-Generator/pulls,4,2
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/resources,4,1
/mponagandla/Python-Resume-Generator/issues,2,2
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.md,2,1
/mponagandla/Python-Resume-Generator/blob/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report/report.pdf,2,1
/mponagandla/Python-Resume-Generator/blob/master/resources/example_user_profile.md,2,1
/mponagandla/Python-Resume-Generator/blob/master/resources/resume-bkp.pdf,2,1
/mponagandla/Python-Resume-Generator/pull/16,2,1
