url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,12,3
/mponagandla/Python-Resume-Generator/tree/master/.github,4,1
/mponagandla/Python-Resume-Generator/tree/master/.github/workflows,4,1
/mponagandla/Python-Resume-Generator/actions,3,1
/mponagandla/Python-Resume-Generator/blob/d6b11765416a5be4b9b0765597338824b56aeab3/README.md,2,2
/mponagandla/Python-Resume-Generator/actions/workflows/github-repo-stats.yml,2,1
/mponagandla/Python-Resume-Generator/blob/master/.github/workflows/github-repo-stats.yml,2,1
/mponagandla/Python-Resume-Generator/tree/master/resources,2,1
/mponagandla/Python-Resume-Generator/actions/runs/24427659896,1,1
/mponagandla/Python-Resume-Generator/actions/runs/24427659896/job/71365143761,1,1
